8205,BGPsec Protocol Specification,Peer2
8206,BGPsec Considerations for Autonomous System (AS) Migration,Peer2
8207,BGPsec Operational Considerations,Peer2
8208,"BGPsec Algorithms, Key Formats, and Signature Formats",Peer2
8209,"A Profile for BGPsec Router Certificates, Certificate Revocation Lists, and Certification Requests",Peer2
8210,"The Resource Public Key Infrastructure (RPKI) to Router Protocol, Version 1",Peer2
8211,Adverse Actions by a Certification Authority (CA) or Repository Manager in the Resource Public Key Infrastructure (RPKI),Peer2
8212,Default External BGP (EBGP) Route Propagation Behavior without Policies,Peer2
8213,Security of Messages Exchanged between Servers and Relay Agents,Peer2
8214,Virtual Private Wire Service Support in Ethernet VPN,Peer28204,Benchmarking Virtual Switches in the Open Platform for NFV (OPNFV),Peer1
8203,BGP Administrative Shutdown Communication,Peer1
8202,IS-IS Multi-Instance,Peer1
8201,Path MTU Discovery for IP version 6,Peer1
8200,Internet Protocol, Version 6 (IPv6) Specification,Peer1
8199,YANG Module Classification,Peer1
8198,Aggressive Use of DNSSEC-Validated Cache,Peer1
8197,A SIP Response Code for Unwanted Calls,Peer1
8196,IS-IS Autoconfiguration,Peer1
8195,Use of BGP Large Communities,Peer1
